"OBJECT","OLD_ROUTE","NEO_ROUTE","DATA_SOURCE","OTHER_NEO_SURFACE","OLD_PAGE_IN_LAST_BUILD","NEO_PAGE_IN_LAST_BUILD","STATUS","NOTES"
"ACDOCA","/object/ACDOCA/","—","verified-objects","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/ACDOCA/ exists, /neo/object/ACDOCA/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from verified-objects outside sapData gets no NEO object page. DATA IS PRESENT (verified-objects), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"ADMI_RUN","/object/ADMI_RUN/","/neo/object/ADMI_RUN/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 4 fields / 0 neighbours / 1 dictionary rows"
"ADSO","/object/ADSO/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/ADSO/ exists, /neo/object/ADSO/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"AFFH","/object/AFFH/","/neo/object/AFFH/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 3 fields / 1 neighbours / 1 dictionary rows"
"AFFL","/object/AFFL/","/neo/object/AFFL/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 4 fields / 1 neighbours / 1 dictionary rows"
"AFIH","/object/AFIH/","/neo/object/AFIH/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 6 fields / 3 neighbours / 1 dictionary rows"
"AFKO","/object/AFKO/","/neo/object/AFKO/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 8 fields / 7 neighbours / 2 dictionary rows"
"AFPO","/object/AFPO/","/neo/object/AFPO/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 6 fields / 2 neighbours / 2 dictionary rows"
"AFRU","/object/AFRU/","/neo/object/AFRU/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 5 fields / 1 neighbours / 1 dictionary rows"
"AFVC","/object/AFVC/","/neo/object/AFVC/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 6 fields / 2 neighbours / 2 dictionary rows"
"AFWI","/object/AFWI/","/neo/object/AFWI/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 4 fields / 0 neighbours / 1 dictionary rows"
"AUFK","/object/AUFK/","/neo/object/AUFK/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 6 fields / 14 neighbours / 2 dictionary rows"
"AnalysisForOffice","/object/AnalysisForOffice/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/AnalysisForOffice/ exists, /neo/object/AnalysisForOffice/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"BEx_Query","/object/BEx_Query/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/BEx_Query/ exists, /neo/object/BEx_Query/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
