"CODE","MODULE","DEPTH","OLD_ROUTE","NEO_ROUTE","OLD_PAGE_IN_LAST_BUILD","NEO_PAGE_IN_LAST_BUILD","F_TCODE","F_MODULE","F_HEBREW_NAME","F_ENGLISH_NAME","F_DESCRIPTION","F_BUSINESS_CATEGORY","F_RELATED_TABLES_OBJECTS","F_DEEPDOC_FLAG","F_FIORI_EQUIVALENT","F_S4_STATUS","F_CDS","F_BAPI_FM","F_LINKS","F_TAGS","NEO_KNOWN_FACTS","STATUS","SEVERITY","NOTES"
"/IWFND/CACHE_CLEANUP","FIORI","light","/tcode//IWFND/CACHE_CLEANUP/","/neo/transactions//IWFND/CACHE_CLEANUP/","no","no","EXACT","EXACT","EXACT","n/a","n/a","EXACT","n/a","EXACT","n/a","n/a","n/a","n/a","n/a","n/a","3/14","EXACT","P3","all 14 named facts that the data answers are rendered on the NEO page"
"/IWFND/ERROR_LOG","INTEGRATION","light","/tcode//IWFND/ERROR_LOG/","/neo/transactions//IWFND/ERROR_LOG/","no","no","EXACT","EXACT","EXACT","n/a","n/a","EXACT","n/a","EXACT","n/a","n/a","n/a","n/a","n/a","n/a","4/14","EXACT","P3","all 14 named facts that the data answers are rendered on the NEO page"
"/IWFND/MAINT_SERVICE","INTEGRATION","light","/tcode//IWFND/MAINT_SERVICE/","/neo/transactions//IWFND/MAINT_SERVICE/","no","no","EXACT","EXACT","EXACT","n/a","n/a","EXACT","n/a","EXACT","n/a","n/a","n/a","n/a","n/a","n/a","4/14","EXACT","P3","all 14 named facts that the data answers are rendered on the NEO page"
"/SCWM/ADGI","WM","light","/tcode//SCWM/ADGI/","/neo/transactions//SCWM/ADGI/","no","no","EXACT","EXACT","EXACT","EXACT","n/a","EXACT","n/a","EXACT","n/a","n/a","n/a","n/a","n/a","n/a","4/14","EXACT","P3","all 14 named facts that the data answers are rendered on the NEO page"
"/SCWM/ADPROD","WM","light","/tcode//SCWM/ADPROD/","/neo/transactions//SCWM/ADPROD/","no","no","EXACT","EXACT","EXACT","EXACT","n/a","EXACT","n/a","EXACT","n/a","n/a","n/a","n/a","n/a","n/a","4/14","EXACT","P3","all 14 named facts that the data answers are rendered on the NEO page"
"/SCWM/MON","WM","light","/tcode//SCWM/MON/","/neo/transactions//SCWM/MON/","no","no","EXACT","EXACT","EXACT","EXACT","n/a","EXACT","n/a","EXACT","n/a","n/a","n/a","n/a","n/a","EXACT","5/14","EXACT","P3","all 14 named facts that the data answers are rendered on the NEO page"
"/SCWM/PACK","WM","light","/tcode//SCWM/PACK/","/neo/transactions//SCWM/PACK/","no","no","EXACT","EXACT","EXACT","EXACT","n/a","EXACT","n/a","EXACT","n/a","n/a","n/a","n/a","n/a","n/a","4/14","EXACT","P3","all 14 named facts that the data answers are rendered on the NEO page"
"/SCWM/PI_COUNT","WM","light","/tcode//SCWM/PI_COUNT/","/neo/transactions//SCWM/PI_COUNT/","no","no","EXACT","EXACT","EXACT","EXACT","n/a","EXACT","n/a","EXACT","n/a","n/a","n/a","n/a","NEW-IN-NEO","n/a","5/14","EXACT","P3","all 14 named facts that the data answers are rendered on the NEO page"
"/SCWM/PI_CREATE","WM","light","/tcode//SCWM/PI_CREATE/","/neo/transactions//SCWM/PI_CREATE/","no","no","EXACT","EXACT","EXACT","EXACT","n/a","EXACT","n/a","EXACT","n/a","n/a","n/a","n/a","NEW-IN-NEO","n/a","5/14","EXACT","P3","all 14 named facts that the data answers are rendered on the NEO page"
"/SCWM/PRDI","WM","light","/tcode//SCWM/PRDI/","/neo/transactions//SCWM/PRDI/","no","no","EXACT","EXACT","EXACT","EXACT","n/a","EXACT","n/a","EXACT","n/a","n/a","n/a","n/a","NEW-IN-NEO","n/a","5/14","EXACT","P3","all 14 named facts that the data answers are rendered on the NEO page"
"/SCWM/PRDO","WM","light","/tcode//SCWM/PRDO/","/neo/transactions//SCWM/PRDO/","no","no","EXACT","EXACT","EXACT","EXACT","n/a","EXACT","NEW-IN-NEO","EXACT","n/a","n/a","n/a","n/a","NEW-IN-NEO","EXACT","6/14","EXACT","P3","all 14 named facts that the data answers are rendered on the NEO page"
"/SCWM/QINSP","WM","light","/tcode//SCWM/QINSP/","/neo/transactions//SCWM/QINSP/","no","no","EXACT","EXACT","EXACT","EXACT","n/a","EXACT","n/a","EXACT","n/a","n/a","n/a","n/a","n/a","n/a","4/14","EXACT","P3","all 14 named facts that the data answers are rendered on the NEO page"
"/SCWM/RFUI","WM","light","/tcode//SCWM/RFUI/","/neo/transactions//SCWM/RFUI/","no","no","EXACT","EXACT","EXACT","EXACT","n/a","EXACT","n/a","EXACT","n/a","n/a","n/a","n/a","n/a","n/a","4/14","EXACT","P3","all 14 named facts that the data answers are rendered on the NEO page"
"/SCWM/TODLV_TO","WM","light","/tcode//SCWM/TODLV_TO/","/neo/transactions//SCWM/TODLV_TO/","no","no","EXACT","EXACT","EXACT","EXACT","n/a","EXACT","n/a","EXACT","n/a","n/a","n/a","n/a","NEW-IN-NEO","n/a","5/14","EXACT","P3","all 14 named facts that the data answers are rendered on the NEO page"
"/SCWM/TO_CONF","WM","light","/tcode//SCWM/TO_CONF/","/neo/transactions//SCWM/TO_CONF/","no","no","EXACT","EXACT","EXACT","EXACT","n/a","EXACT","n/a","EXACT","n/a","n/a","n/a","n/a","NEW-IN-NEO","EXACT","5/14","EXACT","P3","all 14 named facts that the data answers are rendered on the NEO page"
"/SCWM/WAVE","WM","light","/tcode//SCWM/WAVE/","/neo/transactions//SCWM/WAVE/","no","no","EXACT","EXACT","EXACT","EXACT","n/a","EXACT","n/a","EXACT","n/a","n/a","n/a","n/a","n/a","n/a","4/14","EXACT","P3","all 14 named facts that the data answers are rendered on the NEO page"
"/UI2/FLP","FIORI","light","/tcode//UI2/FLP/","/neo/transactions//UI2/FLP/","no","no","EXACT","EXACT","EXACT","n/a","n/a","EXACT","n/a","EXACT","n/a","n/a","n/a","n/a","n/a","n/a","3/14","EXACT","P3","all 14 named facts that the data answers are rendered on the NEO page"
"/UI2/FLPD_CUST","FIORI","light","/tcode//UI2/FLPD_CUST/","/neo/transactions//UI2/FLPD_CUST/","no","no","EXACT","EXACT","EXACT","n/a","n/a","EXACT","n/a","EXACT","n/a","n/a","n/a","n/a","n/a","n/a","3/14","EXACT","P3","all 14 named facts that the data answers are rendered on the NEO page"
"/UI2/INVALIDATE_GLOBAL_CACHES","FIORI","light","/tcode//UI2/INVALIDATE_GLOBAL_CACHES/","/neo/transactions//UI2/INVALIDATE_GLOBAL_CACHES/","no","no","EXACT","EXACT","EXACT","n/a","n/a","EXACT","n/a","EXACT","n/a","n/a","n/a","n/a","n/a","n/a","3/14","EXACT","P3","all 14 named facts that the data answers are rendered on the NEO page"
"/UI5/THEME_DESIGNER","FIORI","light","/tcode//UI5/THEME_DESIGNER/","/neo/transactions//UI5/THEME_DESIGNER/","no","no","EXACT","EXACT","EXACT","n/a","n/a","EXACT","n/a","EXACT","n/a","n/a","n/a","n/a","n/a","n/a","3/14","EXACT","P3","all 14 named facts that the data answers are rendered on the NEO page"
"0VLK","LE","light","/tcode/0VLK/","/neo/transactions/0VLK/","yes","yes","EXACT","EXACT","EXACT","EXACT","n/a","EXACT","n/a","EXACT","n/a","n/a","n/a","n/a","NEW-IN-NEO","EXACT","5/14","EXACT","P3","all 14 named facts that the data answers are rendered on the NEO page"
"0VLP","LE","light","/tcode/0VLP/","/neo/transactions/0VLP/","yes","yes","EXACT","EXACT","EXACT","EXACT","n/a","EXACT","n/a","EXACT","n/a","n/a","n/a","n/a","NEW-IN-NEO","EXACT","5/14","EXACT","P3","all 14 named facts that the data answers are rendered on the NEO page"
"0VRF","LE","light","/tcode/0VRF/","/neo/transactions/0VRF/","yes","yes","EXACT","EXACT","EXACT","EXACT","n/a","EXACT","NEW-IN-NEO","EXACT","n/a","n/a","n/a","n/a","NEW-IN-NEO","EXACT","6/14","EXACT","P3","all 14 named facts that the data answers are rendered on the NEO page"
"0VTC","LE","light","/tcode/0VTC/","/neo/transactions/0VTC/","yes","yes","EXACT","EXACT","EXACT","EXACT","n/a","EXACT","NEW-IN-NEO","EXACT","n/a","n/a","n/a","n/a","NEW-IN-NEO","EXACT","6/14","EXACT","P3","all 14 named facts that the data answers are rendered on the NEO page"
"AB01","FI","deep","/tcode/AB01/","/neo/transactions/AB01/","yes","yes","EXACT","EXACT","EXACT","n/a","EXACT","EXACT","EXACT","EXACT","n/a","EXACT","n/a","EXACT","EXACT","n/a","10/14","TRANSFORMED","P2","14 named facts intact; NEO's TxDetail model does not carry: beginner · consultant · bestPractices · ossKeywords · interview"
"AB08","FI","light","/tcode/AB08/","/neo/transactions/AB08/","yes","yes","EXACT","EXACT","EXACT","EXACT","n/a","EXACT","n/a","EXACT","n/a","n/a","n/a","n/a","NEW-IN-NEO","n/a","5/14","EXACT","P3","all 14 named facts that the data answers are rendered on the NEO page"
"ABAON","FI","light","/tcode/ABAON/","/neo/transactions/ABAON/","yes","yes","EXACT","EXACT","EXACT","EXACT","n/a","EXACT","n/a","EXACT","n/a","n/a","n/a","n/a","NEW-IN-NEO","n/a","5/14","EXACT","P3","all 14 named facts that the data answers are rendered on the NEO page"
"ABAPDOCU","ABAP","light","/tcode/ABAPDOCU/","/neo/transactions/ABAPDOCU/","yes","yes","EXACT","EXACT","EXACT","EXACT","n/a","EXACT","n/a","EXACT","n/a","n/a","n/a","n/a","NEW-IN-NEO","n/a","5/14","EXACT","P3","all 14 named facts that the data answers are rendered on the NEO page"
"ABAPHELP","ABAP","light","/tcode/ABAPHELP/","/neo/transactions/ABAPHELP/","yes","yes","EXACT","EXACT","EXACT","EXACT","n/a","EXACT","n/a","EXACT","n/a","n/a","n/a","n/a","NEW-IN-NEO","n/a","5/14","EXACT","P3","all 14 named facts that the data answers are rendered on the NEO page"
"ABAVN","FI","deep","/tcode/ABAVN/","/neo/transactions/ABAVN/","yes","yes","EXACT","EXACT","EXACT","EXACT","EXACT","EXACT","EXACT","EXACT","EXACT","EXACT","n/a","EXACT","EXACT","n/a","12/14","TRANSFORMED","P2","14 named facts intact; NEO's TxDetail model does not carry: beginner · consultant · bestPractices · ossKeywords · interview"
"ABST2","FI","light","/tcode/ABST2/","/neo/transactions/ABST2/","yes","yes","EXACT","EXACT","EXACT","EXACT","n/a","EXACT","n/a","EXACT","n/a","n/a","n/a","n/a","EXACT","EXACT","5/14","EXACT","P3","all 14 named facts that the data answers are rendered on the NEO page"
"ABT1N","FI","light","/tcode/ABT1N/","/neo/transactions/ABT1N/","yes","yes","EXACT","EXACT","EXACT","EXACT","n/a","EXACT","n/a","EXACT","n/a","n/a","n/a","n/a","NEW-IN-NEO","n/a","5/14","EXACT","P3","all 14 named facts that the data answers are rendered on the NEO page"
"ABUMN","FI","deep","/tcode/ABUMN/","/neo/transactions/ABUMN/","yes","yes","EXACT","EXACT","EXACT","EXACT","EXACT","EXACT","EXACT","EXACT","EXACT","EXACT","n/a","EXACT","EXACT","EXACT","12/14","TRANSFORMED","P2","14 named facts intact; NEO's TxDetail model does not carry: beginner · consultant · bestPractices · ossKeywords · interview"
"ABZON","FI","deep","/tcode/ABZON/","/neo/transactions/ABZON/","yes","yes","EXACT","EXACT","EXACT","EXACT","EXACT","EXACT","EXACT","EXACT","EXACT","EXACT","n/a","EXACT","EXACT","n/a","12/14","TRANSFORMED","P2","14 named facts intact; NEO's TxDetail model does not carry: beginner · consultant · bestPractices · ossKeywords · interview"
"AFAB","FI","deep","/tcode/AFAB/","/neo/transactions/AFAB/","yes","yes","EXACT","EXACT","EXACT","EXACT","EXACT","EXACT","EXACT","EXACT","EXACT","EXACT","n/a","n/a","EXACT","n/a","11/14","TRANSFORMED","P2","14 named facts intact; NEO's TxDetail model does not carry: beginner · consultant · bestPractices · ossKeywords · interview"
"AFAR","FI","light","/tcode/AFAR/","/neo/transactions/AFAR/","yes","yes","EXACT","EXACT","EXACT","EXACT","n/a","EXACT","n/a","EXACT","n/a","n/a","n/a","n/a","NEW-IN-NEO","n/a","5/14","EXACT","P3","all 14 named facts that the data answers are rendered on the NEO page"
"AIAB","FI","light","/tcode/AIAB/","/neo/transactions/AIAB/","yes","yes","EXACT","EXACT","EXACT","EXACT","n/a","EXACT","n/a","EXACT","n/a","n/a","n/a","n/a","NEW-IN-NEO","n/a","5/14","EXACT","P3","all 14 named facts that the data answers are rendered on the NEO page"
"AIBU","FI","light","/tcode/AIBU/","/neo/transactions/AIBU/","yes","yes","EXACT","EXACT","EXACT","EXACT","n/a","EXACT","n/a","EXACT","n/a","n/a","n/a","n/a","NEW-IN-NEO","EXACT","5/14","EXACT","P3","all 14 named facts that the data answers are rendered on the NEO page"
"AJAB","FI","light","/tcode/AJAB/","/neo/transactions/AJAB/","yes","yes","EXACT","EXACT","EXACT","EXACT","n/a","EXACT","n/a","EXACT","n/a","n/a","n/a","n/a","EXACT","n/a","5/14","EXACT","P3","all 14 named facts that the data answers are rendered on the NEO page"
"AJRW","FI","light","/tcode/AJRW/","/neo/transactions/AJRW/","yes","yes","EXACT","EXACT","EXACT","EXACT","n/a","EXACT","n/a","EXACT","n/a","n/a","n/a","n/a","EXACT","n/a","5/14","EXACT","P3","all 14 named facts that the data answers are rendered on the NEO page"
"AL01","BASIS","light","/tcode/AL01/","/neo/transactions/AL01/","yes","yes","EXACT","EXACT","EXACT","EXACT","n/a","EXACT","n/a","EXACT","n/a","n/a","n/a","n/a","NEW-IN-NEO","EXACT","5/14","EXACT","P3","all 14 named facts that the data answers are rendered on the NEO page"
"AL08","BASIS","light","/tcode/AL08/","/neo/transactions/AL08/","yes","yes","EXACT","EXACT","EXACT","EXACT","n/a","EXACT","n/a","EXACT","n/a","n/a","n/a","n/a","NEW-IN-NEO","EXACT","5/14","EXACT","P3","all 14 named facts that the data answers are rendered on the NEO page"
"AL11","BASIS","light","/tcode/AL11/","/neo/transactions/AL11/","yes","yes","EXACT","EXACT","EXACT","EXACT","n/a","EXACT","n/a","EXACT","n/a","n/a","n/a","n/a","n/a","EXACT","4/14","EXACT","P3","all 14 named facts that the data answers are rendered on the NEO page"
"AL12","BASIS","light","/tcode/AL12/","/neo/transactions/AL12/","yes","yes","EXACT","EXACT","EXACT","EXACT","n/a","EXACT","n/a","EXACT","n/a","n/a","n/a","n/a","NEW-IN-NEO","n/a","5/14","EXACT","P3","all 14 named facts that the data answers are rendered on the NEO page"
"AOBJ","—","not-in-registry","/tcode/AOBJ/","—","yes","no","MISSING","n/a","n/a","n/a","n/a","n/a","MISSING","MISSING","n/a","n/a","n/a","n/a","n/a","n/a","—","MISSING","P1","no /neo/transactions/AOBJ/ page: code comes from lib/object-intel listTcodes() (blueprint tcodes column), which lib/tx-registry does not merge; NEO generateStaticParams = registryCodes() only. OLD /tcode/AOBJ/ renders RelatedView with 1 blueprint table(s). DATA PRESENT, NOT SURFACED IN NEO."
"AR01","FI","light","/tcode/AR01/","/neo/transactions/AR01/","yes","yes","EXACT","EXACT","EXACT","EXACT","n/a","EXACT","n/a","EXACT","n/a","n/a","n/a","n/a","NEW-IN-NEO","n/a","5/14","EXACT","P3","all 14 named facts that the data answers are rendered on the NEO page"
"AS01","FI","deep","/tcode/AS01/","/neo/transactions/AS01/","yes","yes","EXACT","EXACT","EXACT","EXACT","EXACT","EXACT","EXACT","EXACT","EXACT","EXACT","n/a","EXACT","EXACT","EXACT","12/14","TRANSFORMED","P2","14 named facts intact; NEO's TxDetail model does not carry: beginner · consultant · bestPractices · ossKeywords · interview"
"AS02","FI","deep","/tcode/AS02/","/neo/transactions/AS02/","yes","yes","EXACT","EXACT","EXACT","EXACT","EXACT","EXACT","EXACT","EXACT","EXACT","EXACT","n/a","EXACT","EXACT","n/a","12/14","TRANSFORMED","P2","14 named facts intact; NEO's TxDetail model does not carry: beginner · consultant · bestPractices · ossKeywords · interview"
