"TABLE","OLD_MODULES","OLD_DICT_ROWS","OLD_TOPIC_ROWS","OLD_FIELD_ROWS_TOTAL","OLD_FIELD_UNION","NEO_DETAIL_ROUTE","NEO_DICT_ROWS","NEO_FIELDS","NEO_PAGE_IN_LAST_BUILD","STATUS","NOTES"
"ADMI_RUN","PM","1","PM#12","4","4","/neo/tables/ADMI_RUN/","1","4","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"AFFH","PP-PI","1","PP-PI#6","3","3","/neo/tables/AFFH/","1","3","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"AFFL","PP-PI","1","PP-PI#6","4","4","/neo/tables/AFFL/","1","4","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"AFIH","PM","1","PM#7","6","6","/neo/tables/AFIH/","1","6","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"AFKO","PM+PP-PI","2","PM#7 PP-PI#6","11","8","/neo/tables/AFKO/","2","8","yes","EXACT","detail page generated; all 2 dictionary row(s) carried through"
"AFPO","PM+PP-PI","2","PM#7 PP-PI#6","9","6","/neo/tables/AFPO/","2","6","yes","EXACT","detail page generated; all 2 dictionary row(s) carried through"
"AFRU","PP-PI","1","PP-PI#6","5","5","/neo/tables/AFRU/","1","5","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"AFVC","PM+PP-PI","2","PM#7 PP-PI#6","12","6","/neo/tables/AFVC/","2","6","yes","EXACT","detail page generated; all 2 dictionary row(s) carried through"
"AFWI","PM","1","PM#7","4","4","/neo/tables/AFWI/","1","4","yes","EXACT","detail page generated; all 1 dictionary row(s) carried through"
"AUFK","PM+PP-PI","3","PM#7 PM#12 PP-PI#6","15","8","/neo/tables/AUFK/","2","6","yes","PARTIAL","dictionary row dropped by lib/module-portal.moduleTables() dedupe-by-name-within-module; dropped topic(s)=PM#12 ""12. היסטוריה וארכיון""; fields lost=IDAT2 ERDAT; relations on dropped row=12; tcodes on dropped row=IW39; IW13. SCOPE: the loss is confined to the DETAIL pages /neo/tables/AUFK/ and /neo/object/AUFK/, both of which read erd/model.occurrences() -> moduleTables(). The NEO module workspace (components/neo-shell/workspace/workspace-data.ts rowsOf(), flatMap over topics, no dedupe) still lists the second row, as does OLD app/pm|pp-pi/[section] via lib/module-portal.tablesByTopic(). OLD /object/AUFK/ also collapses to one row (ALL_TABLES.find), so the detail-page behaviour matches OLD; only the field union is narrower than the dataset."
